what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1417345066100
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1417345066100
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1417345066100
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1417345066100
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1417345066100
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1417345066100
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1417345066100
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1417345066100
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1417345066100
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1417345066115
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1417345066115
os,sysinfo,,,"win32",1417345066115
arch,sysinfo,,,"x86_64",1417345066115
ws,sysinfo,,,"win32",1417345066115
locale,sysinfo,,,"en_IN",1417345066115
processors,sysinfo,,,"4",1417345066115
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417345066115
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1417345066115
java.specification.name,sysinfo,,,"Java Platform API Specification",1417345066115
java.specification.vendor,sysinfo,,,"Oracle Corporation",1417345066115
java.specification.version,sysinfo,,,"1.8",1417345066115
java.vendor,sysinfo,,,"Oracle Corporation",1417345066115
java.version,sysinfo,,,"1.8.0_25",1417345066115
java.vm.info,sysinfo,,,"mixed mode",1417345066115
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1417345066115
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417345066115
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1417345066115
java.vm.specification.version,sysinfo,,,"1.8",1417345066115
